codigo_articulo,descripcion,grupo_id,unidad_id,requiere_control_lote,activo,fecha_alta
2212001001,ACEITE COMESTIBLE DE 20 LTS,5,1,False,True,2026-09-24
2212001002,ACEITE DE OLIVA DE 750ML,5,5,False,True,2026-09-24
2212001003,ADEREZO FRANCES PARA ENSALADA 237 ML,5,6,False,True,2026-09-24
2212001006,ATUN EN ACEITE DE 1880 GRAMOS,5,11,False,True,2026-09-24
2212001007,AZUCAR BOLSA,5,9,False,True,2026-09-24
2212001010,CAFE SOLUBLE DE 200 GRAMOS,5,6,False,True,2026-09-24
2212001013,CEREAL DE ARROZ DE 300 GRS,5,14,False,True,2026-09-24
2212001014,CEREAL DE AVENA DE 300 GRS.,5,14,False,True,2026-09-24
2212001015,CEREAL MIXTO DE 300 GRS,5,14,False,True,2026-09-24
2212001016,CHILE CHIPOTLE DE 380 GRS.,5,11,False,True,2026-09-24
2212001018,CHILE JALAPEÑO EN RAJAS DE 2800 GRS.,5,11,False,True,2026-09-24
2212001019,CHOCOLATE EN BARRA TIPO CARLOS V C/16,5,4,False,True,2026-09-24
2212001020,CHOCOLATE EN POLVO BOLSA,5,9,False,True,2026-09-24
2212001021,COCADA INDIVIDUAL,5,15,False,True,2026-09-24
2212001022,CONCENTRADO DE HORCHATA LÍQUIDO,5,7,False,True,2026-09-24
2212001023,CONCENTRADO DE LIMON EN POLVO 500 GRS,5,14,False,True,2026-09-24
2212001026,CONSOME DE POLLO,5,9,False,True,2026-09-24
2212001027,DESINFECTANTE LÍQUIDO,5,12,False,True,2026-09-24
2212001028,DURAZNO EN ALMIBAR DE 820 GRS,5,11,False,True,2026-09-24
2212001029,FECULA DE MAIZ VARIOS SABORES CON 24 SOBRES,5,4,False,True,2026-09-24
2212001030,FECULA DE MAIZ NATURAL PAQ. DE 750GR.,5,14,False,True,2026-09-24
2212001031,FLAN DE VAINILLA,5,9,False,True,2026-09-24
2212001032,GALLETA DULCE SURTIDO DE 720 GRS,5,14,False,True,2026-09-24
2212001033,GALLETA TIPO HABANERA,5,14,False,True,2026-09-24
2212001034,GALLETA MARIA,5,9,False,True,2026-09-24
2212001035,GALLETA SALADA INDIVIDUAL DE 2.6 KG,5,4,False,True,2026-09-24
2212001036,GELATINA EN POLVO VARIOS SABORES,5,9,False,True,2026-09-24
2212001037,GELATINA PARA DIABETICO,5,9,False,True,2026-09-24
2212001038,HARINA DE ARROZ DE 500 GRS,5,14,False,True,2026-09-24
2212001040,HARINA DE TRIGO,5,9,False,True,2026-09-24
2212001041,HARINA PARA HOT CAKES,5,9,False,True,2026-09-24
2212001042,HOJUELAS DE MAIZ 10 KILOS,5,4,False,True,2026-09-24
2212001044,JUGO SABOR NARANJA DE 480 ML,5,15,False,True,2026-09-24
2212001045,LECHE EVAPORADA,5,11,False,True,2026-09-24
2212001046,MAYONESA DE 3.785 KILOS,5,6,False,True,2026-09-24
2212001047,MERMELADA DE FRESA INDIVIDUAL,5,15,False,True,2026-09-24
2212001048,MIEL DE MAIZ DE 500 ML,5,6,False,True,2026-09-24
2212001049,MOLE POBLANO 2800 GRS,5,11,False,True,2026-09-24
2212001050,MOSTAZA DE 3.785 KG,5,6,False,True,2026-09-24
2212001051,MOSTAZA DE 430 GRS,5,5,False,True,2026-09-24
2212001053,PASTA PARA SOPA CODITO CHICO 4 KILOS,5,4,False,True,2026-09-24
2212001054,PASTA PARA SOPA ESPAGUETTI 4 KILOS,5,4,False,True,2026-09-24
2212001055,PASTA PARA SOPA FIDEO 4 KILOS,5,4,False,True,2026-09-24
2212001057,PEPIAN DE 2800 GRAMOS,5,11,False,True,2026-09-24
2212001058,PIÑA EN ALMIBAR DE 710 GRAMOS,5,11,False,True,2026-09-24
2212001060,PURE DE TOMATE DE 2.950 KILOGRAMOS,5,11,False,True,2026-09-24
2212001062,SAL EN GRANO BOLSA,5,9,False,True,2026-09-24
2212001063,SAL MOLIDA BOLSA,5,9,False,True,2026-09-24
2212001064,SALSA CATSUP TETRAPAK,5,12,False,True,2026-09-24
2212001065,SALSA CATSUP INDIVIDUAL,5,15,False,True,2026-09-24
2212001066,SALSA DE SOYA,5,12,False,True,2026-09-24
2212001067,SALSA TIPO INGLESA DE 980 MILILITROS,5,6,False,True,2026-09-24
2212001071,VAINILLA,5,12,False,True,2026-09-24
2212001072,VINAGRE BLANCO,5,7,False,True,2026-09-24
2212001073,MOSTAZA INDIVIDUAL 5 GR,5,15,False,True,2026-09-24
2212001075,GELATINA VARIOS SABORES ULTRAPASTEURIZADA INDIVIDUAL,5,15,False,True,2026-09-24
2212001079,HOJUELA DE MAIZ NATURAL INDIVIDUAL,5,14,False,True,2026-09-24
2212001080,CEREAL DE ARROZ INFLADO SABOR CHOCOLATE INDIVIDUAL,5,14,False,True,2026-09-24
2212001085,MAYONESA INDIVIDUAL,5,15,False,True,2026-09-24
2212001086,CONCENTRADO DE TAMARINDO,5,7,False,True,2026-09-24
2212001087,HOJUELAS DE MAIZ CON AZUCAR 15 KILOS,5,4,False,True,2026-09-24
2212001089,CHONGOS ZAMORANOS DE 450 GRS,5,11,False,True,2026-09-24
2212001100,PASTA PARA SOPA ESTRELLITA CAJA 4 KILOS,5,4,False,True,2026-09-24
2212001101,PASTA PARA SOPA MACARRON 4 KILOS,5,4,False,True,2026-09-24
2212001102,PASTA PARA SOPA PLUMA 4 KILOS,5,4,False,True,2026-09-24
2212001103,PASTA PARA SOPA TORNILLO 4 KILOS,5,4,False,True,2026-09-24
2212001106,ACEITE COMESTIBLE,5,12,False,True,2026-09-24
2212001107,ACEITE DE COCO,5,12,False,True,2026-09-24
