contrato_articulo_id,licitacion_id,codigo_articulo,proveedor_id,marca_adjudicada,marca_autorizada,presentacion_comercial,especificacion_empaque,precio_unitario,precio_referencia,activo,fecha_registro
1,LPL47/2026,2212001023,4379,CARICIA,CARICIA,PAQUETE,,235.5,251.02,True,2026-09-24
2,LPL47/2026,2212005014,4503,MOJICA,MOJICA,KG,,70.0,73.9,True,2026-09-24
3,LPL47/2026,2212001001,3269,LIBERTADOR,LIBERTADOR,BIDON,,800.0,875.31,True,2026-09-24
4,LPL47/2026,2212001002,A4684,NUTUN,NUTUN SUPER FOODS,FRASCO,,130.0,130.0,True,2026-09-24
5,LPL47/2026,2212001003,A4684,CLEMENTE JACQUES,CLEMENTE JACQUES,FRASCO,,38.0,38.39,True,2026-09-24
6,LPL47/2026,2212001006,3269,EL DORADO,EL DORADO,LATA,,202.5,228.51,True,2026-09-24
7,LPL47/2026,2212001007,3269,ZEPEDA,ZEPEDA,KG,,23.85,26.08,True,2026-09-24
8,LPL47/2026,2212001010,3269,KEPRECIO,KEPRECIO,FRASCO,,120.0,125.67,True,2026-09-24
9,LPL47/2026,2212001013,3269,NESTUM,NESTUM,LATA,,74.0,82.25,True,2026-09-24
10,LPL47/2026,2212001014,3269,NESTUM,NESTUM,LATA,,75.0,82.0,True,2026-09-24
11,LPL47/2026,2212001016,A4684,EL MEXICANO,MÁRQUEZ BROTHERS INTERNATIONAL,LATA,,40.0,45.64,True,2026-09-24
12,LPL47/2026,2212001018,3269,EL MEXICANO,EL MEXICANO,LATA,,104.0,114.1,True,2026-09-24
13,LPL47/2026,2212001019,1024,CARLOS V,,CAJA,,120.0,114.71,True,2026-09-24
14,LPL47/2026,2212001020,3269,BATICHOCO,BATICHOCO,KG,,110.0,116.25,True,2026-09-24
15,LPL47/2026,2212001021,A4684,ROLLITOS,ROLLITOS,PIEZA,,10.0,10.94,True,2026-09-24
16,LPL47/2026,2212001022,3269,BREST,BREST,GALON,,240.0,260.8,True,2026-09-24
17,LPL47/2026,2212001026,1024,SM,,KG,,35.0,36.36,True,2026-09-24
18,LPL47/2026,2212001027,3269,MEMBERT MARK,MEMBERT MARK,LITRO,,104.0,104.19,True,2026-09-24
19,LPL47/2026,2212001028,3269,PLATERIA,PLATERIA,LATA,,50.0,55.76,True,2026-09-24
20,LPL47/2026,2212001029,1024,MAIZENA,,CAJA,,250.0,239.07,True,2026-09-24
21,LPL47/2026,2212001030,A4684,MAIZENA,MAIZENA,PAQUETE,,75.0,81.5,True,2026-09-24
22,LPL47/2026,2212001031,3269,CARICIA,CARICIA,KG,,122.0,135.42,True,2026-09-24
23,LPL47/2026,2212001034,3269,MARIBEL,MARIBEL,KG,,75.0,83.68,True,2026-09-24
24,LPL47/2026,2212001035,1024,GAMESA,,CAJA,,250.0,247.76,True,2026-09-24
25,LPL47/2026,2212001036,3269,CARICIA,CARICIA,KG,,120.0,132.17,True,2026-09-24
26,LPL47/2026,2212001037,A4684,D´GARI,D´GARI,KG,,240.0,256.62,True,2026-09-24
27,LPL47/2026,2212001038,3269,3 ESTRELLAS,3 ESTRELLAS,PAQUETE,,33.5,36.08,True,2026-09-24
28,LPL47/2026,2212001040,4379,INMACULADA,INMACULADA,KG,,24.0,27.17,True,2026-09-24
29,LPL47/2026,2212001041,4503,TRES ESTRELLAS,TRES ESTRELLAS,KG,,40.0,42.38,True,2026-09-24
30,LPL47/2026,2212001042,3269,MICHEL,MICHEL,CAJA,,680.0,742.09,True,2026-09-24
31,LPL47/2026,2212001044,3269,19 HERMANOS,19 HERMANOS,PIEZA,,6.1,7.13,True,2026-09-24
32,LPL47/2026,2212001045,4379,CARNATION,CARNATION,LATA,,24.0,27.34,True,2026-09-24
33,LPL47/2026,2212001046,A4684,HELLMANNS,HELLMANNS,FRASCO,,320.0,336.87,True,2026-09-24
34,LPL47/2026,2212001047,A4684,HEINZ,HEINZ,PIEZA,PRESENTACION CAJA CON 120 PIEZAS,2.0,2.18,True,2026-09-24
35,LPL47/2026,2212001048,A4684,KARO,KARO,FRASCO,,77.0,83.42,True,2026-09-24
36,LPL47/2026,2212001049,3269,PROVINCIANO,PROVINCIANO,LATA,,265.0,290.62,True,2026-09-24
37,LPL47/2026,2212001050,A4684,MCCORMICK,MCCORMICK,FRASCO,PRESENTACION FRASCO SE 3.85 KG,140.0,153.07,True,2026-09-24
38,LPL47/2026,2212001051,4379,MCCORMICK,MCCORMICK,FRASCO,,29.0,32.6,True,2026-09-24
39,LPL47/2026,2212001053,3269,LA MODERNA,LA MODERNA,CAJA,,147.85,163.0,True,2026-09-24
40,LPL47/2026,2212001054,3269,LA MODERNA,LA MODERNA,CAJA,,147.85,162.5,True,2026-09-24
41,LPL47/2026,2212001055,3269,LA MODERNA,LA MODERNA,CAJA,,147.85,164.5,True,2026-09-24
42,LPL47/2026,2212001058,3269,CORINA,CORINA,LATA,,60.0,66.7,True,2026-09-24
43,LPL47/2026,2212001062,A4684,MAR DE CORTES,MAR DE CORTES,KG,,12.0,14.13,True,2026-09-24
44,LPL47/2026,2212001063,3269,OROZ,OROZ,KG,,14.0,14.09,True,2026-09-24
45,LPL47/2026,2212001064,A4684,EMBASA,EMBASA,LITRO,,29.0,32.9,True,2026-09-24
46,LPL47/2026,2212001065,3269,HEINZ,HEINZ,PIEZA,,1.8,1.76,True,2026-09-24
47,LPL47/2026,2212001066,A4684,DUEÑA WAN,DUEÑA WAN,LITRO,,44.0,48.9,True,2026-09-24
48,LPL47/2026,2212001066,4503,TOKIO,TOKIO,LITRO,,44.0,48.9,False,2026-09-24
49,LPL47/2026,2212001067,3269,CROSSE&BLACKWELL,CROSSE&BLACKWELL,FRASCO,,183.0,201.04,True,2026-09-24
50,LPL47/2026,2212001071,4503,CARO,CARO,LITRO,,42.0,46.19,True,2026-09-24
