cupo_id,contrato_articulo_id,sede_id,cantidad_minima_anual,cantidad_maxima_anual,cantidad_acumulada_ejercicio
1,1,FAA,27,66,0
2,2,FAA,591,1476,0
3,2,JIM,320,800,0
4,3,FAA,68,168,0
5,4,FAA,17,42,0
6,4,JIM,5,11,0
7,5,JIM,65,162,0
8,6,FAA,159,396,0
9,7,FAA,2465,6162,0
10,7,JIM,1440,3600,0
11,7,ORI,77.0,192.0,0
12,7,OPD,36.0,88.0,0
13,8,FAA,24,60,0
14,8,JIM,9,22,0
15,8,ORI,32.0,78.0,0
16,8,OPD,35.0,87.0,0
17,9,FAA,20,48,0
18,9,JIM,756,1890,0
19,10,FAA,20,48,0
20,10,JIM,45,112,0
21,11,FAA,113,282,0
22,11,JIM,184,459,0
23,12,FAA,22,54,0
24,12,JIM,65,162,0
25,13,JIM,5,12,0
26,14,FAA,8,18,0
27,14,JIM,11,27,0
28,14,ORI,6.0,15.0,0
29,15,JIM,54,135,0
30,16,FAA,56,138,0
31,16,JIM,87,216,0
32,17,FAA,209,522,0
33,17,JIM,65,162,0
34,18,FAA,44,108,0
35,18,JIM,67,167,0
36,18,ORI,15.0,37.0,0
37,19,FAA,408,1020,0
38,19,JIM,408,1020,0
39,20,FAA,8,18,0
40,21,FAA,8,18,0
41,22,FAA,17,42,0
42,22,JIM,61,151,0
43,23,FAA,121,301,0
44,23,JIM,80,200,0
45,23,ORI,47.0,117.0,0
46,24,FAA,75,186,0
47,24,JIM,24,60,0
48,25,JIM,45,112,0
49,26,FAA,15,36,0
50,27,FAA,5,12,0
51,27,JIM,67,167,0
52,28,FAA,5,12,0
53,28,JIM,6,13,0
54,29,FAA,99,246,0
55,29,JIM,160,400,0
56,30,JIM,8,18,0
57,31,FAA,8040,20100,0
58,31,JIM,1728,4320,0
59,31,ORI,130.0,325.0,0
60,32,FAA,137,342,0
61,32,JIM,6,13,0
62,33,FAA,111,276,0
63,33,JIM,65,162,0
64,34,FAA,3000,7500,0
65,34,JIM,3360,8400,0
66,35,JIM,29,72,0
67,36,FAA,34,84,0
68,36,JIM,18,43,0
69,37,FAA,15,36,0
70,38,FAA,27,66,0
71,38,JIM,65,162,0
72,39,FAA,15,36,0
73,40,FAA,51,126,0
74,40,JIM,65,162,0
75,41,FAA,48,120,0
76,41,JIM,13,32,0
77,42,FAA,5,12,0
78,42,JIM,408,1020,0
79,43,FAA,574,1434,0
80,44,FAA,8,18,0
81,44,JIM,162,405,0
82,45,JIM,44,108,0
83,46,FAA,2285,5712,0
84,46,JIM,180,450,0
85,47,FAA,6,15,0
86,47,JIM,4,11,0
87,48,FAA,6,15,0
88,48,JIM,4,11,0
89,49,FAA,8,18,0
90,49,JIM,5,12,0
91,50,FAA,42,104,0
92,50,JIM,7,16,0
93,50,ORI,4.0,9.0,0
94,51,FAA,293,732,0
95,51,JIM,60,150,0
96,51,ORI,840.0,2100.0,0
97,52,JIM,180,450,0
98,53,FAA,25020,62550,0
99,53,JIM,960,2400,0
100,54,FAA,240,600,0
101,54,JIM,180,450,0
102,55,FAA,24,60,0
103,55,JIM,87,216,0
104,56,FAA,29,72,0
105,56,JIM,7,16,0
106,57,FAA,39,96,0
107,57,JIM,8,18,0
108,58,FAA,29,72,0
109,58,JIM,3,6,0
110,59,JIM,3,6,0
111,60,FAA,8,18,0
112,60,JIM,3,6,0
113,61,FAA,387,966,0
114,61,JIM,648,1620,0
115,62,FAA,53,132,0
116,62,JIM,9,22,0
117,63,FAA,29,72,0
118,63,JIM,4,9,0
119,64,FAA,4000,10000,0
120,64,JIM,4800,12000,0
121,64,ORI,130.0,325.0,0
122,65,FAA,89,222,0
123,66,FAA,72,180,0
124,66,JIM,192,480,0
125,67,FAA,20,48,0
126,67,JIM,70,175,0
127,68,FAA,53,132,0
128,68,JIM,240,600,0
129,69,FAA,5,12,0
130,70,JIM,216,540,0
131,71,JIM,216,540,0
132,72,FAA,209,522,0
133,72,JIM,86,214,0
134,73,FAA,15,36,0
135,74,FAA,2688,6720,0
136,74,JIM,3168,7920,0
137,74,OPD,600.0,1500.0,0
138,75,FAA,288,720,0
139,75,JIM,240,600,0
140,75,ORI,120.0,300.0,0
141,75,OPD,150.0,375.0,0
142,76,FAA,10,24,0
143,77,FAA,3,6,0
144,78,JIM,504,1260,0
145,79,FAA,128,318,0
146,79,JIM,5,12,0
147,80,FAA,17,42,0
148,81,FAA,3,6,0
149,82,FAA,101,252,0
150,83,FAA,210,525,0
151,83,JIM,144,360,0
152,84,FAA,34,84,0
153,85,JIM,2,4,0
154,86,JIM,2,4,0
155,87,JIM,2,4,0
156,88,JIM,2400,6000,0
157,89,FAA,622,1554,0
158,89,JIM,216,540,0
159,90,OPD,120.0,300.0,0
160,91,OPD,4.0,10.0,0
161,92,OPD,400.0,1000.0,0
162,93,FAA,137,342,0
163,93,JIM,324,808,0
164,94,JIM,2880,7200,0
165,95,FAA,593,1482,0
166,96,FAA,77,192,0
167,96,JIM,342,855,0
168,97,FAA,516,1290,0
169,98,FAA,12,30,0
170,99,FAA,332,828,0
171,99,JIM,540,1350,0
172,100,FAA,984,2460,0
173,100,JIM,540,1350,0
174,101,FAA,101,252,0
175,101,JIM,180,450,0
176,102,FAA,8,18,0
177,102,JIM,450,1125,0
178,103,FAA,245,612,0
179,103,JIM,80,198,0
180,104,FAA,680,1698,0
181,104,JIM,306,765,0
182,105,FAA,969,2421,0
183,106,FAA,17,42,0
184,106,JIM,1545,3861,0
185,107,FAA,168,420,0
186,108,FAA,10,24,0
187,109,JIM,178,445,0
188,110,FAA,70,174,0
189,110,JIM,193,482,0
190,111,FAA,490,1224,0
191,112,FAA,219,546,0
192,112,JIM,415,1037,0
193,113,FAA,120,300,0
194,114,JIM,180,450,0
195,115,FAA,248,618,0
196,116,FAA,34,84,0
197,117,FAA,24,60,0
198,118,FAA,80,198,0
199,119,FAA,20,48,0
200,120,JIM,180,450,0
201,121,FAA,8,18,0
202,121,JIM,180,450,0
203,122,FAA,3,6,0
204,123,FAA,2958,7393,0
205,123,JIM,2700,6750,0
206,124,FAA,255,636,0
207,124,JIM,90,225,0
208,125,FAA,12,30,0
209,126,FAA,22,54,0
210,127,FAA,17,42,0
211,128,FAA,332,828,0
212,128,JIM,635,1586,0
213,129,FAA,444,1110,0
214,130,FAA,65,162,0
215,131,FAA,154,384,0
216,132,JIM,9,22,0
217,133,FAA,8,18,0
218,134,FAA,370,924,0
219,134,JIM,160,400,0
220,134,ORI,30.0,75.0,0
221,135,FAA,72,180,0
222,135,JIM,24,60,0
223,136,FAA,3,6,0
224,137,FAA,5,12,0
225,137,JIM,240,600,0
226,138,FAA,99,246,0
227,138,JIM,144,360,0
228,139,FAA,3,7,0
229,139,JIM,162,405,0
230,140,FAA,27,66,0
231,140,OPD,3.0,6.0,0
232,141,FAA,156,390,0
233,141,JIM,90,225,0
234,141,OPD,6.0,15.0,0
235,142,FAA,3,6,0
236,143,FAA,17,42,0
237,144,FAA,448,1119,0
238,144,JIM,90,225,0
239,144,OPD,6.0,15.0,0
240,145,FAA,476,1188,0
241,145,OPD,8.0,20.0,0
242,146,FAA,757,1891,0
243,146,JIM,360,900,0
244,147,FAA,48,120,0
245,147,JIM,72,180,0
246,148,FAA,79,196,0
247,148,JIM,146,364,0
248,149,FAA,365,912,0
249,149,JIM,209,522,0
250,149,OPD,8.0,20.0,0
251,150,FAA,3204,8010,0
252,150,JIM,2070,5175,0
253,150,OPD,12.0,30.0,0
254,151,FAA,2818,7044,0
255,151,JIM,630,1575,0
256,151,OPD,12.0,30.0,0
257,152,FAA,1542,3853,0
258,152,JIM,1115,2786,0
259,152,OPD,10.0,25.0,0
260,153,FAA,1379,3447,0
261,153,JIM,900,2250,0
262,153,OPD,10.0,25.0,0
263,154,FAA,5199,12996,0
264,154,JIM,1530,3825,0
265,155,FAA,1270,3174,0
266,155,OPD,12.0,30.0,0
267,156,FAA,3163,7906,0
268,156,JIM,2160,5400,0
269,157,FAA,1669,4171,0
270,157,JIM,1908,4770,0
271,157,OPD,6.0,15.0,0
272,158,FAA,279,696,0
273,159,FAA,4671,11676,0
274,159,JIM,1280,3200,0
275,160,FAA,1048,2619,0
276,160,JIM,270,675,0
277,161,FAA,53,132,0
278,162,FAA,130,324,0
279,162,OPD,10.0,25.0,0
280,163,FAA,60,150,0
281,164,FAA,428,1068,0
282,164,OPD,12.0,30.0,0
283,165,FAA,284,708,0
284,165,JIM,1520,3800,0
285,166,FAA,12,30,0
286,167,FAA,3,6,0
287,167,JIM,6,13,0
288,168,FAA,5,12,0
289,169,FAA,3,6,0
290,170,JIM,9,22,0
291,171,FAA,24,60,0
292,172,JIM,120,300,0
293,173,JIM,72,180,0
294,174,JIM,120,300,0
295,175,FAA,65,162,0
296,176,FAA,3,6,0
297,176,JIM,5,11,0
298,177,FAA,132,330,0
299,177,JIM,1620,4050,0
300,178,FAA,190,474,0
301,179,FAA,749,1872,0
302,180,FAA,29,72,0
303,181,FAA,22,54,0
304,182,FAA,15,36,0
305,183,FAA,147,366,0
306,184,FAA,116,288,0
307,185,FAA,1054,2634,0
308,186,FAA,1301,3252,0
309,187,FAA,202,504,0
310,187,JIM,36,90,0
311,188,FAA,3,6,0
312,189,FAA,591,1476,0
313,189,JIM,108,270,0
314,190,JIM,81,202,0
315,191,JIM,6480,16200,0
316,191,ORI,130.0,325.0,0
317,192,JIM,180,450,0
318,193,FAA,111,276,0
319,193,JIM,1800,4500,0
320,193,ORI,110.0,275.0,0
321,194,FAA,3,6,0
322,195,FAA,22,54,0
323,195,JIM,5,11,0
324,196,FAA,9040,22599,0
325,196,JIM,1620,4050,0
326,197,FAA,3125,7812,0
327,197,JIM,1236,3089,0
328,198,JIM,36,90,0
329,199,FAA,970,2424,0
330,199,JIM,2160,5400,0
331,200,FAA,3245,8112,0
332,200,JIM,1440,3600,0
333,201,FAA,622,1554,0
334,201,JIM,303,756,0
335,202,FAA,598,1494,0
336,202,JIM,216,540,0
337,203,FAA,572,1428,0
338,203,JIM,576,1440,0
339,204,JIM,900,2250,0
340,205,FAA,10,24,0
341,205,JIM,72,180,0
342,206,FAA,480,1200,0
343,206,JIM,594,1485,0
344,207,JIM,11,27,0
345,208,FAA,113,282,0
346,208,JIM,72,180,0
347,209,FAA,125,312,0
348,210,FAA,53,132,0
349,210,JIM,90,225,0
350,211,JIM,36,90,0
351,212,JIM,54,135,0
352,213,FAA,569,1422,0
353,214,FAA,56,138,0
354,215,FAA,120,300,0
355,216,FAA,500,1248,0
356,217,JIM,6,13,0
357,218,JIM,360,900,0
358,219,FAA,53,132,0
359,220,FAA,4128,10320,0
360,220,JIM,4320,10800,0
361,221,FAA,1371,3426,0
362,221,JIM,900,2250,0
363,221,ORI,30.0,75.0,0
364,222,FAA,17400,43500,0
365,222,JIM,2880,7200,0
366,223,FAA,77,192,0
367,223,JIM,6,13,0
368,224,FAA,34,84,0
369,224,JIM,173,432,0
370,225,FAA,65,162,0
371,225,JIM,198,495,0
372,226,FAA,104,258,0
373,226,JIM,9,22,0
374,227,FAA,3840,9600,0
375,227,JIM,2160,5400,0
376,228,FAA,20,48,0
377,228,JIM,432,1080,0
378,229,FAA,185,462,0
379,229,JIM,152,378,0
380,230,FAA,2160,5400,0
381,231,FAA,18048,45120,0
382,231,JIM,7776,19440,0
383,232,FAA,516,1290,0
384,232,JIM,432,1080,0
385,233,FAA,128,318,0
386,233,JIM,227,567,0
387,233,ORI,30.0,75.0,0
388,234,FAA,1090,2724,0
389,234,JIM,2031,5076,0
390,235,FAA,418,1044,0
391,235,JIM,4140,10350,0
392,236,FAA,226,564,0
393,236,JIM,1080,2700,0
394,237,FAA,24,60,0
395,238,FAA,6270,15674,0
396,238,JIM,2880,7200,0
397,239,FAA,8979,22446,0
398,240,FAA,1200,3000,0
399,241,JIM,6,13,0
400,242,JIM,81,202,0
401,243,JIM,54,135,0
402,244,FAA,32,78,0
403,244,JIM,3,7,0
404,244,ORI,16.0,40.0,0
405,244,OPD,3.0,6.0,0
406,245,ORI,110.0,275.0,0
407,245,OPD,100.0,250.0,0
408,246,JIM,198,495,0
409,247,JIM,3,7,0
410,248,FAA,176,438,0
411,248,JIM,78,194,0
412,249,FAA,8,18,0
413,250,JIM,45,112,0
414,251,FAA,2127,5316,0
415,251,JIM,843,2106,0
416,252,FAA,10,24,0
417,252,JIM,11,27,0
418,252,ORI,6.0,15.0,0
419,253,FAA,113,282,0
420,253,JIM,14,35,0
421,254,FAA,10,24,0
422,254,JIM,18,43,0
423,255,FAA,17,42,0
424,255,JIM,18,43,0
425,256,FAA,5,12,0
426,257,FAA,10,24,0
427,257,JIM,18,43,0
428,258,FAA,58,144,0
429,258,JIM,26,65,0
430,259,FAA,3,6,0
431,260,FAA,3,6,0
432,260,JIM,5,11,0
433,261,FAA,5,12,0
434,261,JIM,2,3,0
435,262,JIM,5,11,0
436,263,FAA,3617,9042,0
437,263,JIM,774,1935,0
438,264,FAA,77,192,0
439,264,JIM,45,112,0
440,265,FAA,108,270,0
441,265,JIM,9,22,0
442,266,FAA,5,12,0
443,267,FAA,5,12,0
444,267,JIM,2,3,0
445,268,FAA,116,288,0
446,268,JIM,102,254,0
447,269,FAA,168,420,0
448,269,JIM,70,173,0
449,270,FAA,5,12,0
450,270,JIM,360,900,0
451,271,FAA,3,6,0
452,271,JIM,2,3,0
453,272,FAA,46,114,0
454,272,JIM,11,27,0
455,272,OPD,6.0,15.0,0
456,273,FAA,24,60,0
457,273,JIM,2,5,0
458,274,FAA,216,540,0
459,275,FAA,142,354,0
460,275,JIM,108,270,0
461,276,FAA,3,6,0
462,277,FAA,39,96,0
463,277,JIM,11,27,0
464,277,OPD,6.0,15.0,0
465,278,FAA,3,6,0
466,279,FAA,5,12,0
467,280,FAA,5,12,0
468,281,FAA,161,402,0
469,281,JIM,39,97,0
470,282,FAA,82,204,0
471,282,JIM,54,135,0
472,283,FAA,255,636,0
473,284,FAA,456,1140,0
474,284,JIM,5,11,0
475,285,FAA,10,24,0
476,285,JIM,26,65,0
477,286,FAA,149,372,0
478,287,FAA,404,1008,0
479,288,FAA,6180,15450,0
480,288,JIM,1440,3600,0
481,289,FAA,152,378,0
482,290,FAA,154,384,0
483,291,FAA,2151,5376,0
484,291,JIM,810,2025,0
485,292,FAA,22,54,0
486,292,JIM,27,67,0
487,293,FAA,41,102,0
488,294,FAA,6872,17178,0
489,294,JIM,1026,2565,0
490,295,FAA,3,6,0
491,295,JIM,26,63,0
492,296,FAA,75,186,0
493,296,JIM,99,247,0
494,297,FAA,87,216,0
495,297,JIM,78,193,0
496,298,FAA,111,276,0
497,298,JIM,50,124,0
498,299,FAA,53,132,0
499,299,JIM,44,108,0
500,300,FAA,195,486,0
501,300,JIM,65,162,0
502,301,FAA,29,72,0
503,302,FAA,8,18,0
504,303,FAA,197,492,0
505,304,FAA,281,702,0
506,305,FAA,252,630,0
507,305,JIM,152,378,0
508,306,FAA,80,198,0
509,306,JIM,31,76,0
510,307,FAA,30,75,0
511,307,JIM,22,54,0
512,308,FAA,92,228,0
513,308,JIM,22,54,0
514,309,FAA,2852,7128,0
515,309,JIM,288,720,0
516,310,FAA,3656,9138,0
517,310,JIM,1980,4950,0
518,311,FAA,161,402,0
519,311,JIM,720,1800,0
520,312,FAA,456,1140,0
521,312,JIM,433,1082,0
522,313,FAA,540,1350,0
523,313,JIM,126,315,0
524,314,FAA,51,126,0
525,315,FAA,1805,4512,0
526,315,JIM,90,225,0
527,316,FAA,128,318,0
528,316,JIM,72,180,0
529,317,FAA,68,168,0
530,317,JIM,108,270,0
531,318,FAA,24,60,0
532,318,JIM,22,54,0
533,319,FAA,10,24,0
534,320,FAA,118,294,0
535,320,JIM,65,162,0
536,321,FAA,3375,8436,0
537,321,JIM,1380,3449,0
538,322,FAA,118,294,0
539,323,FAA,2912,7278,0
540,323,JIM,1044,2610,0
541,324,FAA,22,54,0
542,324,JIM,54,135,0
543,325,FAA,22,54,0
544,326,FAA,3,6,0
545,327,FAA,10,24,0
546,328,FAA,8,18,0
547,329,FAA,29,72,0
548,330,FAA,68,168,0
549,331,FAA,3,6,0
550,332,FAA,39,96,0
551,332,JIM,27,67,0
552,333,FAA,252,630,0
553,333,JIM,15,36,0
554,334,FAA,142,354,0
555,334,JIM,143,356,0
556,335,FAA,72,180,0
557,336,FAA,176,438,0
558,336,JIM,130,324,0
559,337,FAA,233,582,0
560,337,JIM,135,337,0
561,338,FAA,96,240,0
562,338,JIM,47,117,0
563,339,FAA,80,198,0
564,339,JIM,15,36,0
565,340,FAA,200,498,0
566,340,JIM,214,535,0
567,341,FAA,200,498,0
568,341,JIM,72,180,0
569,342,JIM,27,67,0
570,343,FAA,166,414,0
571,343,JIM,18,45,0
572,344,OPD,3.0,7.0,0
573,345,JIM,22,54,0
574,346,JIM,72,180,0
575,347,FAA,171,426,0
576,347,JIM,90,225,0
577,348,OPD,200.0,500.0,0
