familia_id,clave_presupuestal,nombre
1,1,"Aceites, Aderezos y Salsas"
2,2,Bebidas y Concentrados
3,3,Huevo
4,4,"Granos, Semillas, Especies y Chiles Secos"
5,5,Derivados de Maíz
6,6,Embutidos
7,7,Congelados
8,8,Frutas y Verduras
9,9,Lácteos
10,10,Leche
11,11,Pan Comercial
12,12,Azúcares y Endulzantes
13,13,Pescado y Mariscos
14,14,Res y Cerdo
15,15,"Cereales, Harinas y Galletas"
16,16,"Café, Té y Condimentos"
17,17,Enlatados
18,18,Abarrotes
19,19,Gelatinas y Mermeladas
20,20,Pan
21,21,Pastas
22,22,Pollo
